,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_gamma,param_degree,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
61,0.003345346450805664,0.0008166685422204381,0.006142568588256836,0.0008422179336734897,0.1,poly,0.001,10,"{'C': 0.1, 'degree': 10, 'gamma': 0.001, 'kernel': 'poly'}",0.7096774193548387,0.7096774193548387,0.7096774193548387,0.7,0.7,0.7058064516129032,0.004740947889257803,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133
62,0.0032845497131347655,0.0002673406398039454,0.006112098693847656,0.0005734102342713301,0.1,poly,0.01,10,"{'C': 0.1, 'degree': 10, 'gamma': 0.01, 'kernel': 'poly'}",1.0,0.9354838709677419,0.9354838709677419,0.9333333333333333,0.9,0.9408602150537636,0.03250087825774203,82,1.0,1.0,1.0,1.0,0.875,0.975,0.049999999999999996,53,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8222222222222222,0.08888888888888886,90,1.0,0.8750000000000001,0.8750000000000001,0.8750000000000001,0.823529411764706,0.8897058823529411,0.0586394177569908,83
63,0.0030354976654052733,0.00037005068630283517,0.005262851715087891,0.0002765406400049935,0.1,poly,0.1,10,"{'C': 0.1, 'degree': 10, 'gamma': 0.1, 'kernel': 'poly'}",1.0,0.9354838709677419,0.9354838709677419,0.9333333333333333,0.9,0.9408602150537636,0.03250087825774203,82,1.0,1.0,1.0,1.0,0.875,0.975,0.049999999999999996,53,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8222222222222222,0.08888888888888886,90,1.0,0.8750000000000001,0.8750000000000001,0.8750000000000001,0.823529411764706,0.8897058823529411,0.0586394177569908,83
64,0.0027796268463134766,0.00015707399598690887,0.004712438583374024,0.00024171047225134772,0.1,poly,1,10,"{'C': 0.1, 'degree': 10, 'gamma': 1, 'kernel': 'poly'}",1.0,0.9354838709677419,0.9354838709677419,0.9333333333333333,0.9,0.9408602150537636,0.03250087825774203,82,1.0,1.0,1.0,1.0,0.875,0.975,0.049999999999999996,53,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8222222222222222,0.08888888888888886,90,1.0,0.8750000000000001,0.8750000000000001,0.8750000000000001,0.823529411764706,0.8897058823529411,0.0586394177569908,83
65,0.0020746707916259764,9.394023618315588e-05,0.004419994354248047,8.04211560689075e-05,1,poly,0.001,2,"{'C': 1, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}",0.967741935483871,0.9354838709677419,0.9354838709677419,0.9666666666666667,0.8333333333333334,0.927741935483871,0.0492909606068785,100,0.9,1.0,0.8888888888888888,1.0,0.75,0.9077777777777778,0.092001073531042,108,1.0,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.8444444444444444,0.11331154474650633,85,0.9473684210526316,0.8750000000000001,0.8888888888888888,0.9411764705882353,0.7058823529411765,0.8716632266941865,0.08758370068223344,100
66,0.0017736434936523437,5.8384109890635276e-05,0.004399299621582031,0.00027159570454405235,1,poly,0.01,2,"{'C': 1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.967741935483871,0.9354838709677419,1.0,0.9666666666666667,0.9,0.953978494623656,0.033835277321814544,58,1.0,0.8888888888888888,1.0,1.0,0.875,0.9527777777777778,0.05800170282728085,77,0.8888888888888888,0.8888888888888888,1.0,0.8888888888888888,0.7777777777777778,0.888888888888889,0.07027283689263066,28,0.9411764705882353,0.8888888888888888,1.0,0.9411764705882353,0.823529411764706,0.918954248366013,0.05927207345754055,41
67,0.0017846107482910156,8.921678024034017e-05,0.004325199127197266,0.0001459326137607564,1,poly,0.1,2,"{'C': 1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",0.967741935483871,0.9354838709677419,1.0,0.9666666666666667,0.9,0.953978494623656,0.033835277321814544,58,1.0,0.8888888888888888,1.0,1.0,0.875,0.9527777777777778,0.05800170282728085,77,0.8888888888888888,0.8888888888888888,1.0,0.8888888888888888,0.7777777777777778,0.888888888888889,0.07027283689263066,28,0.9411764705882353,0.8888888888888888,1.0,0.9411764705882353,0.823529411764706,0.918954248366013,0.05927207345754055,41
68,0.0019196510314941407,0.00018218303582268817,0.00452718734741211,0.00034084577564788885,1,poly,1,2,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",0.967741935483871,0.9354838709677419,1.0,0.9666666666666667,0.9,0.953978494623656,0.033835277321814544,58,1.0,0.8888888888888888,1.0,1.0,0.875,0.9527777777777778,0.05800170282728085,77,0.8888888888888888,0.8888888888888888,1.0,0.8888888888888888,0.7777777777777778,0.888888888888889,0.07027283689263066,28,0.9411764705882353,0.8888888888888888,1.0,0.9411764705882353,0.823529411764706,0.918954248366013,0.05927207345754055,41
69,0.0022092819213867187,0.000139485146885564,0.00448455810546875,6.445060575142323e-05,1,poly,0.001,3,"{'C': 1, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}",0.967741935483871,0.9354838709677419,0.9032258064516129,0.9666666666666667,0.8333333333333334,0.9212903225806451,0.049961946439603014,106,0.9,1.0,0.875,1.0,0.75,0.905,0.09273618495495704,109,1.0,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.6666666666666666,0.8222222222222222,0.11331154474650633,90,0.9473684210526316,0.8750000000000001,0.823529411764706,0.9411764705882353,0.7058823529411765,0.8585913312693499,0.0889047710503834,105
70,0.001934814453125,0.00018779439505072268,0.0043865680694580075,0.0001678769940397762,1,poly,0.01,3,"{'C': 1, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",0.967741935483871,0.967741935483871,1.0,0.9666666666666667,0.9333333333333333,0.9670967741935484,0.02108843126388174,1,1.0,1.0,1.0,1.0,0.8888888888888888,0.9777777777777779,0.04444444444444447,1,0.8888888888888888,0.8888888888888888,1.0,0.8888888888888888,0.8888888888888888,0.9111111111111111,0.04444444444444447,3,0.9411764705882353,0.9411764705882353,1.0,0.9411764705882353,0.8888888888888888,0.9424836601307188,0.03517287332568292,1
